japanese,reading,meaning,sinoVietnamese
飛び降りる,とびおりる,Nhảy xuống,PHI GIÁNG
飛び歩く,とびあるく,Đi bộ quanh,PHI BỘ
飛び起きる,とびおきる,Nhảy lên,PHI KHỞI
飛び越える,とびこえる,Nhảy qua,PHI VIỆT
飛び越す,とびこす,Nhảy qua,PHI VIỆT
飛びつく,とびつく,"Nhảy vào, nhào vô",PHI
飛び散る,とびちる,"Tung tóe, vương vãi",PHI TÁN
飛び跳ねる,とびはねる,Nhảy lên xuống,PHI KHIÊU
差し出す,さしだす,"Trình ra, giơ ra",SOA XUẤT
差し伸べる,さしのべる,"Chìa (tay), vươn ra",SOA THÂN
差し挟む,さしはさむ,"Lồng vào, gài vào, chèn vào, nhét vào",SOA HIỆP
差引く,さしひく,"Trừ, khấu trừ",SOA DẪN
差し控える,さしひかえる,"Tiết chế, kiềm chế, từ chối",SOA KHỐNG
差し替える,さしかえる,Thay thế,SOA THẾ
差し迫る,さしせまる,"Cấp thiết, bức bách",SOA BÁCH
引き上げる,ひきあげる,"Nâng lên (giá), đề bạt",DẪN THƯỢNG
引き揚げる,ひきあげる,"Rút lui, kết thúc, thôi việc",DẪN DƯƠNG
引き下がる,ひきさがる,"Rút lại, giảm xuống",DẪN HẠ
引き止める,ひきとめる,"Dừng lại, ngăn lại",DẪN CHỈ
引き取る,ひきとる,"Thu lại, nhận lại, chăm sóc",DẪN THỦ
引きずる,ひきずる,"Kéo lê, bị ảnh hưởng mạnh",DẪN
引き締める,ひきしめる,"Thắt chặt, siết chặt, rút bớt",DẪN ĐẾ
引きこもる,ひきこもる,"Tự kỷ, tự nhốt mình trong phòng",DẪN
引き伸ばす,ひきのばす,"Dai dẳng, kéo dãn, giãn ra.",DẪN THÂN
引き延ばす,ひきのばす,"Trì hoãn, hoãn lại, kéo dài.",DẪN DUYÊN
振り返る,ふりかえる,"Quay lại, nhìn lại.",CHẤN PHẢN
振り替える,ふりかえる,"Tái phát, lắp lại, trở lại, thay thế, bù",CHẤN THẾ
振り回す,ふりまわす,"Vung, vùng vẫy, nắm và sử dụng",CHẤN HỒI
バネル,バネル,"Bảng, tấm, panel",Panel
センサー,センサー,Cảm biến,
ディスプレイ,ディスプレイ,"Trình chiếu, trưng bày, trang trí",Display
グッズ,グッズ,"Đồ, hàng hóa",Goods
パック,パック,Đóng gói,Pack
シングル,シングル,"Đơn lẻ, 1 người (phòng)",Single
