japanese,reading,meaning,sinoVietnamese
フォーム,フォーム,Tư thế,Form
ボ－ズ,ボ－ズ,"Tư thế, tạm dừng",Pause
タイミング,タイニング,Thời gian thích hợp (làm việc gì đó),Timing
ラスト,ラスト,Cuối cùng,Last
スム－ズな,スム－ズな,"Trơn tru, dễ dàng",Smooth
サイクル,サイクル,Chu kỳ,Cycle
ジェンダー,ジェンダー,"Giới tính, giống (đực, cái)",Gender
軽率な,けいそつ(な),"Khinh suất, lơ là, nông nổi, bồng bột",KHINH SUẤT
怠慢な,たいまん(な),"Cẩu thả, chậm chạp",ĐÃI MẠN
いい加減な,いいかげん(な),"Vô trách nhiệm, quá đáng",GIA GIẢM
投げやりな,なげやり(な),Cẩu thả,ĐẦU
素っ気な(い),そっけない,"Thờ ơ, lạnh nhạtCộc lốc, lỗ mãng, không thân thiện",TỐ KHÍ
冷ややか(な),ひややか(な),Lạnh lùng,LÃNH
馴れ馴れしい,なれなれし(い),"Cực kỳ thân thiết, suồng sã",TUẦN TUẦN
みっともない,みっともな(い),"Xấu hổ, khó coi, mất thể diệnMất mặt",
たくまし(い),たくまし(い),"Lực lưỡng, vạm vỡ",
健やか(な),すごやか(な),Khỏe mạnh,KIỆN
無邪気な,むじゃき(な),Ngây thơ,VÔ TÀ KHÍ
無神経(な),むしんけい(な),"Không cảm xúc, trơ lì, vô tâm, vô ý",VÔ THẦN KINH
無造作な,むぞうさ(な),"Đơn giản, dễ dàngmột cách thản nhiên",VÔ TẠO TÁC
優雅な,ゆうが(な),"Thanh lịch, nhã nhặn",ƯU NHÃ
見事な,みごと(な),"Đáng khâm phục, tuyệt vời, tuyệt hảo",KIẾN SỰ
申しい分ない,もうしぶんない,Không chê vào đâu được,THÂN PHÂN
模範的な,もはんてき(な),"Mẫu mực, gương mẫu",MÔ PHẠM ĐÍCH
まめ(な),まめ(な),Chăm chỉ,
円滑な,えんかつ(な),Trôi chảy,VIÊN HOẠT
迅速な,じんそく(な),"Nhanh chóng, mau lẹ",TẤN TỐC
速やかな,すみやか(な),Nhanh chóng,TỐC
素早い,すばや(い),"Nhanh chóng, lẹ",TỐ TẢO
